SHOOTING HOMICIDE INCIDENT ID,DATE,MONTH,PRECINCT,PATROL BOROUGH,BOROUGH,VICTIM AGE,VICTIM<1,VICTIM SEX,VICTIM RACE,VICTIM ETHNIC,PER STATUS DESCRIPTION,PERP AGE,PERP SEX,PERP RACE,PERP ETHNIC,VICTIM PERP RELATIONSHIP,WEAPON USE,CIRCUMSTANCE,OTHER CIRCUMSTANCE,IN/OUT,CASE NUMBER,RECORD NUMBER,VICTIM NUMBER,DOMESTIC INCIDENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28987             ,"Jan 17, 2017",1,104,PBQN,QUEENS,86,,F,WHITE,,ARRESTED,30,M,WHITE,,OTHER FAMILY MEMBER,ASPHYXIATION,OTHER,DOMESTIC,I  ,11,1,11,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29007             ,"Jan 17, 2017",1,067,PBBS,BROOKLYN,32,,F,BLACK,,ARRESTED,40,M,BLACK,,INTIMATE PARTNER,BLUNT INSTRUMENT,OTHER ARGUMENT,DOMESTIC,I  ,12,1,12,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29047             ,"Jan 21, 2017",1,060,PBBS,BROOKLYN,42,,F,WHITE HISPANIC,HISPANIC,ARRESTED,37,F,BLACK,,FRIEND,"HANDS,FISTS,ECT.",OTHER ARGUMENT,OVR GIRL/BOY(DISP),I  ,13,1,13,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30021             ,"Jan 22, 2017",1,103,PBQS,QUEENS,6,,M,WHITE HISPANIC,HISPANIC,ARRESTED,30,F,WHITE HISPANIC,HISPANIC,CHILD,NARCOTICS,INAPPROPRIATE CARE- GIVING,DOMESTIC,I  ,14,1,14,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29042             ,"Jan 23, 2017",1,052,PBBX,BRONX,52,,F,WHITE HISPANIC,HISPANIC,ARRESTED,31,M,WHITE HISPANIC,HISPANIC,PARENT,CUTTING/STABBING,OTHER ARGUMENT,DOMESTIC,O  ,15,1,15,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29006             ,"Jan 24, 2017",1,122,PBSI,STATEN ISLAND,57,,M,WHITE,,ARRESTED,32,M,BLACK,,EMPLOYEE,HANDGUN,OTHER ARGUMENT,MONEY(DISP),I  ,16,1,16,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29006             ,"Jan 24, 2017",1,122,PBSI,STATEN ISLAND,52,,M,WHITE,,ARRESTED,32,M,BLACK,,EMPLOYEE,HANDGUN,OTHER ARGUMENT,MONEY(DISP),I  ,17,2,17,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29034             ,"Jan 24, 2017",1,102,PBQS,QUEENS,24,,M,BLACK HISPANIC,HISPANIC,,,,,,UNKNOWN RELATIONSHIP,CUTTING/STABBING,ROBBERY,DRUGS,I  ,18,1,18,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29009             ,"Jan 25, 2017",1,070,PBBS,BROOKLYN,53,,M,BLACK,,ARRESTED,42,M,BLACK,,FRIEND,BLUNT INSTRUMENT,OTHER ARGUMENT,NEIGHBOR (DISP),I  ,19,1,19,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29011             ,"Jan 25, 2017",1,028,PBMN,MANHATTAN,22,,M,BLACK,,ARRESTED,24,M,BLACK HISPANIC,HISPANIC,FRIEND,HANDGUN,DRUG RELATED TRANSACTION,UNKNOWN,O  ,20,1,20,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29014             ,"Jan 26, 2017",1,023,PBMN,MANHATTAN,3,,M,WHITE HISPANIC,HISPANIC,,,,,,CHILD,"HANDS,FISTS,ECT.",OTHER,DOMESTIC,I  ,21,1,21,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29016             ,"Jan 26, 2017",1,073,PBBN,BROOKLYN,4,,M,BLACK,,ARRESTED,26,F,BLACK,,CHILD,BLUNT INSTRUMENT,OTHER,DOMESTIC,I  ,22,1,22,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29028             ,"Jan 29, 2017",1,014,PBMS,MANHATTAN,33,,M,ASIAN/PAC.ISL,,ARRESTED,28,M,ASIAN/PAC.ISL,,UNKNOWN RELATIONSHIP,CUTTING/STABBING,OTHER ARGUMENT,PREVIOUS HISTORY (DISP),O  ,23,1,23,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29031             ,"Jan 30, 2017",1,081,PBBN,BROOKLYN,29,,M,BLACK,,ARRESTED,18,M,BLACK,,FRIEND,HANDGUN,OTHER ARGUMENT,PREVIOUS HISTORY (DISP),I  ,24,1,24,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29038             ,"Feb 2, 2017",2,040,PBBX,BRONX,46,,M,BLACK,,ARRESTED,40,M,BLACK,,UNKNOWN RELATIONSHIP,BLUNT INSTRUMENT,OTHER ARGUMENT,UNKNOWN(DISP),I  ,25,1,25,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29039,"Feb 2, 2017",2,061,PBBS,BROOKLYN,3,,M,WHITE HISPANIC,HISPANIC,ARRESTED,24,M,WHITE,,STEP PARENT,"HANDS,FISTS,ECT.",INAPPROPRIATE CARE- GIVING,DOMESTIC,I  ,26,1,26,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29724             ,"Feb 2, 2017",2,073,PBBN,BROOKLYN,44,,M,BLACK HISPANIC,HISPANIC,,,,,,UNKNOWN RELATIONSHIP,HANDGUN,OTHER ARGUMENT,UNKNOWN,O  ,27,1,27,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29045             ,"Feb 3, 2017",2,040,PBBX,BRONX,44,,M,BLACK,,,,,,,UNKNOWN RELATIONSHIP,HANDGUN,UNKNOWN,UNKNOWN,O  ,28,1,28,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29069             ,"Feb 4, 2017",2,110,PBQN,QUEENS,28,,M,BLACK,,ARRESTED,21,M,BLACK HISPANIC,HISPANIC,STRANGER,MOTOR VEHICLE,ROBBERY,UNKNOWN,O  ,29,1,29,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29046             ,"Feb 5, 2017",2,069,PBBS,BROOKLYN,22,,M,BLACK,,WANTED,,,,,UNKNOWN RELATIONSHIP,HANDGUN,GANG/ORGANIZED CRIME RELATED,UNKNOWN,O  ,30,1,30,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29052             ,"Feb 8, 2017",2,044,PBBX,BRONX,18,,M,BLACK,,WANTED,,,,,UNKNOWN RELATIONSHIP,HANDGUN,OTHER ARGUMENT,REVENGE,O  ,31,1,31,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29053             ,"Feb 8, 2017",2,062,PBBS,BROOKLYN,66,,M,WHITE,,ARRESTED,27,M,BLACK,,UNKNOWN RELATIONSHIP,HANDGUN,ROBBERY,UNKNOWN,I  ,32,1,32,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29057             ,"Feb 11, 2017",2,075,PBBN,BROOKLYN,41,,M,BLACK,,ARRESTED,32,M,BLACK,,STRANGER,HANDGUN,DRUG RELATED TRANSACTION,UNKNOWN,I  ,33,1,33,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29061,"Feb 14, 2017",2,081,PBBN,BROOKLYN,0,< 1,F,BLACK,,ARRESTED,22,M,BLACK,,CHILD,"HANDS,FISTS,ECT.",OTHER,DOMESTIC,I  ,34,1,34,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29065             ,"Feb 15, 2017",2,069,PBBS,BROOKLYN,58,,M,BLACK,,,,,,,UNKNOWN RELATIONSHIP,HANDGUN,DRUG RELATED TRANSACTION,UNKNOWN,I  ,35,1,35,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29068             ,"Feb 15, 2017",2,106,PBQS,QUEENS,22,,M,BLACK,,,,,,,UNKNOWN RELATIONSHIP,HANDGUN,DRUG RELATED TRANSACTION,UNKNOWN,O  ,36,1,36,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29113             ,"Feb 15, 2017",2,001,PBMS,MANHATTAN,43,,M,WHITE,,WANTED,47,M,WHITE,,UNKNOWN RELATIONSHIP,STRANGULATION,UNKNOWN,UNKNOWN,I  ,37,1,37,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29070             ,"Feb 17, 2017",2,025,PBMN,MANHATTAN,40,,M,BLACK,,ARRESTED,24,M,BLACK,,FRIEND,"HANDS,FISTS,ECT.",OTHER ARGUMENT,WORDS EXCHANGED (DISP),O  ,38,1,38,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29072             ,"Feb 17, 2017",2,075,PBBN,BROOKLYN,20,,M,WHITE HISPANIC,HISPANIC,ARRESTED,18,M,BLACK HISPANIC,HISPANIC,UNKNOWN RELATIONSHIP,CUTTING/STABBING,DRUG RELATED TRANSACTION,UNKNOWN,O  ,39,1,39,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29082             ,"Feb 20, 2017",2,067,PBBS,BROOKLYN,15,,M,BLACK,,ARRESTED,17,M,BLACK,,UNKNOWN RELATIONSHIP,HANDGUN,GANG/ORGANIZED CRIME RELATED,UNKNOWN,O  ,40,1,40,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29095             ,"Feb 21, 2017",2,103,PBQS,QUEENS,69,,F,BLACK,,ARRESTED,29,M,BLACK,,STRANGER,"HANDS,FISTS,ECT.",OTHER,ROBBERY/BURGLARY,O  ,41,1,41,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29097             ,"Feb 22, 2017",2,045,PBBX,BRONX,44,,M,ASIAN/PAC.ISL,,ARRESTED,51,M,WHITE,,FRIEND,CUTTING/STABBING,OTHER ARGUMENT,LANDLORD TENANT (DISP),O  ,42,1,42,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29104             ,"Feb 25, 2017",2,030,PBMN,MANHATTAN,24,,F,WHITE HISPANIC,HISPANIC,ARRESTED,34,M,WHITE HISPANIC,HISPANIC,UNKNOWN RELATIONSHIP,CUTTING/STABBING,ROBBERY,UNKNOWN,I  ,43,1,43,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29105             ,"Feb 26, 2017",2,101,PBQS,QUEENS,51,,M,BLACK,,ARRESTED,42,M,BLACK,,EX-INTIMATE PARTNER,CUTTING/STABBING,OTHER ARGUMENT,DOMESTIC,I  ,44,1,44,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29117             ,"Feb 27, 2017",2,067,PBBS,BROOKLYN,78,,F,BLACK,,ARRESTED,43,F,BLACK,,FRIEND,STRANGULATION,OTHER ARGUMENT,PREVIOUS HISTORY (DISP),I  ,45,1,45,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29114             ,"Feb 28, 2017",2,042,PBBX,BRONX,70,,M,BLACK,,DOA,58,M,BLACK,,UNKNOWN RELATIONSHIP,HANDGUN,OTHER ARGUMENT,WORDS EXCHANGED (DISP),I  ,46,1,46,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29123             ,"Mar 2, 2017",3,046,PBBX,BRONX,36,,M,BLACK,,WANTED,35,M,WHITE HISPANIC,HISPANIC,UNKNOWN RELATIONSHIP,"HANDS,FISTS,ECT.",OTHER,DISPUTE,O  ,47,1,47,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29133             ,"Mar 3, 2017",3,044,PBBX,BRONX,43,,F,BLACK HISPANIC,HISPANIC,ARRESTED,46,M,BLACK HISPANIC,HISPANIC,UNKNOWN RELATIONSHIP,"HANDS,FISTS,ECT.",UNKNOWN,HOME INVASION (ROBB),I  ,48,1,48,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29131             ,"Mar 6, 2017",3,094,PBBN,BROOKLYN,45,,M,WHITE,,ARRESTED,51,M,WHITE,,UNKNOWN RELATIONSHIP,HANDGUN,OTHER ARGUMENT,LANDLORD TENANT (DISP),O  ,49,1,49,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29132             ,"Mar 7, 2017",3,081,PBBN,BROOKLYN,19,,M,BLACK,,,,,,,UNKNOWN RELATIONSHIP,HANDGUN,GANG/ORGANIZED CRIME RELATED,UNKNOWN,I  ,50,1,50,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29147             ,"Mar 11, 2017",3,071,PBBS,BROOKLYN,77,,M,WHITE,,ARRESTED,66,M,BLACK,,FRIEND,"HANDS,FISTS,ECT.",OTHER ARGUMENT,OTHER(DISP),I  ,51,1,51,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29145             ,"Mar 12, 2017",3,034,PBMN,MANHATTAN,27,,M,BLACK,,,,,,,UNKNOWN RELATIONSHIP,HANDGUN,OTHER ARGUMENT,UNKNOWN,O  ,52,1,52,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29154             ,"Mar 14, 2017",3,045,PBBX,BRONX,39,,M,WHITE HISPANIC,HISPANIC,ARRESTED,31,F,WHITE HISPANIC,HISPANIC,INTIMATE PARTNER,CUTTING/STABBING,OTHER,DOMESTIC,I  ,53,1,53,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29158             ,"Mar 15, 2017",3,067,PBBS,BROOKLYN,19,,M,BLACK,,ARRESTED,15,M,BLACK,,UNKNOWN RELATIONSHIP,HANDGUN,DRUG RELATED TRANSACTION,UNKNOWN,O  ,54,1,54,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29159             ,"Mar 16, 2017",3,113,PBQS,QUEENS,50,,M,WHITE HISPANIC,HISPANIC,ARRESTED,30,F,WHITE HISPANIC,HISPANIC,OTHER FAMILY MEMBER,CUTTING/STABBING,OTHER ARGUMENT,DOMESTIC,I  ,55,1,55,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29160             ,"Mar 16, 2017",3,032,PBMN,MANHATTAN,30,,M,BLACK,,WANTED,51,M,BLACK,,UNKNOWN RELATIONSHIP,CUTTING/STABBING,OTHER ARGUMENT,WORDS EXCHANGED (DISP),O  ,56,1,56,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29161             ,"Mar 16, 2017",3,043,PBBX,BRONX,44,,M,WHITE HISPANIC,HISPANIC,ARRESTED,25,M,WHITE HISPANIC,HISPANIC,STRANGER,MOTOR VEHICLE,ROBBERY,UNKNOWN,O  ,57,1,57,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29164             ,"Mar 19, 2017",3,090,PBBN,BROOKLYN,22,,M,BLACK,,ARRESTED,28,M,WHITE HISPANIC,HISPANIC,UNKNOWN RELATIONSHIP,HANDGUN,OTHER ARGUMENT,DRUGS,I  ,58,1,58,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29171             ,"Mar 20, 2017",3,014,PBMS,MANHATTAN,66,,M,BLACK,,ARRESTED,28,M,WHITE,,STRANGER,CUTTING/STABBING,OTHER,OTHER(DISP),O  ,59,1,59,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30114             ,"Mar 20, 2017",3,122,PBSI,STATEN ISLAND,1,,F,WHITE HISPANIC,HISPANIC,ARRESTED,39,F,WHITE HISPANIC,HISPANIC,CHILD,NARCOTICS,INAPPROPRIATE CARE- GIVING,DOMESTIC,I  ,60,1,60,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29177             ,"Mar 23, 2017",3,071,PBBS,BROOKLYN,70,,F,BLACK,,ARRESTED,32,M,BLACK,,INTIMATE PARTNER,BLUNT INSTRUMENT,OTHER,DOMESTIC,I  ,61,1,61,YES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29187             ,"Mar 27, 2017",3,042,PBBX,BRONX,21,,F,BLACK,,ARRESTED,22,M,BLACK,,FRIEND,HANDGUN,OTHER,DISPUTE,I  ,62,1,62,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29190             ,"Mar 29, 2017",3,052,PBBX,BRONX,46,,M,BLACK,,ARRESTED,32,M,BLACK,,FRIEND,HANDGUN,DRUG RELATED TRANSACTION,DISPUTE,O  ,63,1,63,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29191             ,"Mar 29, 2017",3,113,PBQS,QUEENS,23,,M,BLACK,,WANTED,,M,BLACK,,UNKNOWN RELATIONSHIP,HANDGUN,OTHER ARGUMENT,GANG,O  ,64,1,64,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30130             ,"Mar 30, 2017",3,070,PBBS,BROOKLYN,59,,M,WHITE,,WANTED,61,M,ASIAN/PAC.ISL,,FRIEND,"HANDS,FISTS,ECT.",OTHER ARGUMENT,UNKNOWN,I  ,65,1,65,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29195             ,"Mar 31, 2017",3,121,PBSI,STATEN ISLAND,42,,M,BLACK,,ARRESTED,31,M,BLACK,,UNKNOWN RELATIONSHIP,HANDGUN,DRUG RELATED TRANSACTION,UNKNOWN,O  ,66,1,66,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29196             ,"Apr 1, 2017",4,067,PBBS,BROOKLYN,26,,M,BLACK HISPANIC,HISPANIC,ARRESTED,34,M,BLACK,,FRIEND,HANDGUN,OTHER ARGUMENT,OVR GIRL/BOY(DISP),O  ,67,1,67,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29198             ,"Apr 2, 2017",4,047,PBBX,BRONX,26,,F,WHITE HISPANIC,HISPANIC,,,,,,UNKNOWN  ,HANDGUN,UNKNOWN,UNKNOWN,O  ,68,1,68,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
